timestamp,image_name,swift_latitude,swift_longitude,swift_heading,zed_x,zed_y,zed_yaw,gps_latitude,gps_longitude,gps_track
8:49:44,08_49_44.jpg,35.77060284,-78.67541028,218.207465,43.33886861,-146.8735992,-0.06099499072,35.7706395,-78.67539367,212.7299957
8:49:46,08_49_46.jpg,35.77058308,-78.67542686,218.8649159,45.35349798,-148.8808032,-0.5729567088,35.77062083,-78.6754105,215.6900024
8:49:48,08_49_48.jpg,35.77056606,-78.67544814,225.817055,47.14549153,-150.6557484,-2.865554594,35.7706005,-78.67542633,215.3099976
8:49:50,08_49_50.jpg,35.77054919,-78.67546917,218.208927,48.83560068,-152.6776785,0.02150587084,35.77058217,-78.67544567,219.4799957
8:49:52,08_49_52.jpg,35.77053064,-78.67548762,212.3067907,50.67618003,-154.6516536,-0.2289098764,35.77056233,-78.6754615,217.5200043
8:49:54,08_49_54.jpg,35.7705096,-78.67549805,208.9694473,52.60217667,-156.2469701,-0.985563723,35.77054383,-78.6754775,216.0800018
8:49:56,08_49_56.jpg,35.77048311,-78.67550541,207.0863978,54.97021149,-158.0476527,0.6267203615,35.77052433,-78.67549583,213.5800018
8:49:58,08_49_58.jpg,35.77045794,-78.67551779,205.941354,57.4066566,-159.6244637,-0.5364298369,35.77050333,-78.67551017,207.9199982
8:50:00,08_50_00.jpg,35.77043542,-78.67553391,208.107878,59.65430602,-161.4148149,-0.8882731899,35.77048067,-78.67552267,207.7100067
8:50:03,08_50_03.jpg,35.77040971,-78.67554779,214.8596529,61.81354219,-163.4421924,0.1742399466,35.77044767,-78.675546,211.4299927
8:50:05,08_50_05.jpg,35.77038841,-78.67556758,218.5635237,64.02227963,-165.7651517,-2.749156501,35.77042667,-78.67556417,216.3699951
8:50:07,08_50_07.jpg,35.77036696,-78.67559036,211.4314953,66.18586171,-168.0415948,-0.5996470269,35.77040617,-78.67558533,220.6399994
8:50:09,08_50_09.jpg,35.77034702,-78.67560793,210.1621025,68.40120132,-169.8588507,-1.722242054,35.77038617,-78.67560283,216.9700012
8:50:11,08_50_11.jpg,35.77032516,-78.67562163,211.8232515,70.3555914,-171.6287436,0.929673643,35.770367,-78.67561967,214.3300018
8:50:13,08_50_13.jpg,35.77030406,-78.6756392,214.683357,72.55849072,-173.5619663,0.8484982343,35.7703455,-78.67563733,215.1399994
8:50:15,08_50_15.jpg,35.77028334,-78.67566485,214.4559241,74.84036737,-175.765138,0.1813441953,35.770323,-78.6756555,215.5800018
8:50:17,08_50_17.jpg,35.77025604,-78.67568241,208.9975082,77.19182207,-177.8242248,-1.193537297,35.770299,-78.675673,213.7899933
8:50:19,08_50_19.jpg,35.77023233,-78.67570023,213.8046173,79.61461107,-179.6824836,-1.305486248,35.77027533,-78.6756915,211.1799927
8:50:21,08_50_21.jpg,35.77021014,-78.67572438,214.8511694,82.08855911,-181.9084711,-1.878043666,35.77025083,-78.675711,211.8099976
8:50:23,08_50_23.jpg,35.77018747,-78.67574182,210.463196,84.47820268,-183.8553493,-1.204865217,35.77022883,-78.67573067,212.6600037
8:50:25,08_50_25.jpg,35.77016408,-78.67575243,210.8579562,86.62248741,-185.5101007,-0.6187914473,35.77020583,-78.675745,209.7599945
8:50:27,08_50_27.jpg,35.77014454,-78.67576274,211.5364721,88.50135954,-187.1072461,-2.771569654,35.77018467,-78.67575583,209.1000061
8:50:29,08_50_29.jpg,35.7701245,-78.67577982,213.3862035,90.5803555,-188.9603724,-2.313456029,35.77016333,-78.675769,211.7899933
8:50:32,08_50_32.jpg,35.77010482,-78.6758051,220.1805779,92.52421162,-191.2824829,-0.1269186473,35.7701325,-78.67579917,220.6300049
8:50:34,08_50_34.jpg,35.77008143,-78.67582378,212.1211572,94.82023409,-193.298832,-0.1368828035,35.770107,-78.6758185,215.2400055
8:50:36,08_50_36.jpg,35.77006094,-78.67584168,210.698463,97.00394682,-195.1620091,-0.7101824751,35.7700955,-78.67582933,214.6699982
8:50:38,08_50_38.jpg,35.77004048,-78.67585965,214.6294638,99.08966041,-196.8303947,0.9087060358,35.77006733,-78.675859,214.4299927
8:50:40,08_50_40.jpg,35.77002088,-78.67587309,207.0805275,101.2324068,-198.3438079,-0.1665849756,35.770049,-78.67587633,213.1799927
8:50:42,08_50_42.jpg,35.7699992,-78.67588235,182.1947896,103.8316239,-199.3041581,-0.7909478981,35.77002933,-78.67589,205.0599976
8:50:44,08_50_44.jpg,35.76997529,-78.67588451,174.330124,106.7607834,-199.6010008,3.626890224,35.77000817,-78.675895,190.2700043
8:50:46,08_50_46.jpg,35.7699538,-78.67586969,125.9331999,109.5173082,-198.5447957,2.115663705,35.769991,-78.67588767,162.4199982
8:50:48,08_50_48.jpg,35.76994261,-78.67584571,101.9281482,111.0354722,-196.511605,2.048046499,35.76997533,-78.6758705,141.7400055
8:50:50,08_50_50.jpg,35.76993683,-78.67581805,107.9416394,112.0757225,-194.0911235,3.640893981,35.76996633,-78.67584633,119.8499985
8:50:52,08_50_52.jpg,35.76993265,-78.6757857,88.71127023,112.8630211,-191.4442652,3.212333339,35.76996067,-78.67581567,106.6999969
8:50:54,08_50_54.jpg,35.76993188,-78.67575777,93.99739945,113.3184402,-188.8197207,4.280159931,35.76995917,-78.675788,98.55000305
8:50:56,08_50_56.jpg,35.76993363,-78.67572319,87.62125597,113.5831102,-185.7266469,4.620340899,35.76996633,-78.6757585,84.75
8:50:58,08_50_58.jpg,35.76993683,-78.6756917,83.75347464,113.8100218,-182.9446775,1.671803032,35.76997083,-78.67572983,82.08000183
8:51:00,08_51_00.jpg,35.76994152,-78.67566295,73.68389135,113.7646637,-180.330922,3.311674968,35.769974,-78.67570117,82.13999939
8:51:02,08_51_02.jpg,35.76994489,-78.67563474,75.35854193,113.6438083,-177.8958496,10.83329509,35.76997667,-78.67567517,83.0
8:51:04,08_51_04.jpg,35.76994903,-78.67560511,82.30908258,113.9841836,-174.8017382,1.66494307,35.76998333,-78.67565033,80.62999725
