frame                                    | matched    | sgil_err_m | gps_err_m  | gps_pose                         | rtk_pose                         | current_pose                     | estimated_pose
images/image_00002150.png                | True       |      36.97 |       2.44 | (x=-233.56, y=13.83, yaw=-12.29°) | (x=-231.70, y=12.24, yaw=-12.29°) | (x=-220.59, y=-16.01, yaw=-12.29°) | (x=-200.56, y=-7.67, yaw=-12.29°)
images/image_00002165.png                | True       |      39.54 |       3.06 | (x=-229.26, y=12.35, yaw=-6.73°) | (x=-226.35, y=11.42, yaw=-6.73°) | (x=-196.26, y=-9.15, yaw=-6.73°) | (x=-192.82, y=-9.54, yaw=-4.73°)
images/image_00002180.png                | True       |      35.31 |       3.66 | (x=-224.08, y=11.57, yaw=-5.02°) | (x=-220.49, y=10.82, yaw=-5.02°) | (x=-187.64, y=-10.32, yaw=-5.02°) | (x=-192.08, y=-10.14, yaw=-7.02°)
images/image_00002195.png                | True       |      34.81 |       4.22 | (x=-218.44, y=10.89, yaw=-4.36°) | (x=-214.25, y=10.33, yaw=-4.36°) | (x=-186.44, y=-10.82, yaw=-4.36°) | (x=-187.00, y=-11.33, yaw=-1.36°)
images/image_00002210.png                | True       |      34.59 |       4.53 | (x=-212.35, y=10.41, yaw=-3.91°) | (x=-207.85, y=9.86, yaw=-3.91°)  | (x=-180.91, y=-11.81, yaw=-3.91°) | (x=-179.98, y=-10.63, yaw=-2.91°)
images/image_00002225.png                | True       |      35.49 |       4.96 | (x=-205.94, y=9.96, yaw=-3.38°)  | (x=-201.00, y=9.44, yaw=-3.38°)  | (x=-173.57, y=-11.09, yaw=-3.38°) | (x=-172.31, y=-11.45, yaw=1.62°)
images/image_00002240.png                | True       |      34.58 |       5.18 | (x=-199.20, y=9.63, yaw=-2.82°)  | (x=-194.05, y=9.07, yaw=-2.82°)  | (x=-165.57, y=-11.77, yaw=-2.82°) | (x=-167.28, y=-12.82, yaw=-0.82°)
images/image_00002255.png                | True       |      33.05 |       5.50 | (x=-192.25, y=9.31, yaw=-1.52°)  | (x=-186.77, y=8.80, yaw=-1.52°)  | (x=-160.34, y=-13.14, yaw=-1.52°) | (x=-163.32, y=-14.48, yaw=1.48°)
images/image_00002270.png                | True       |      32.48 |       5.77 | (x=-185.19, y=8.95, yaw=-0.41°)  | (x=-179.42, y=8.70, yaw=-0.41°)  | (x=-156.26, y=-14.84, yaw=-0.41°) | (x=-157.78, y=-15.52, yaw=4.59°)
images/image_00002285.png                | True       |      26.62 |       6.05 | (x=-178.07, y=8.81, yaw=-0.63°)  | (x=-172.02, y=8.65, yaw=-0.63°)  | (x=-150.66, y=-15.66, yaw=-0.63°) | (x=-158.27, y=-14.15, yaw=-4.63°)
images/image_00002300.png                | True       |      25.46 |       6.11 | (x=-170.88, y=8.77, yaw=-0.99°)  | (x=-164.77, y=8.54, yaw=-0.99°)  | (x=-151.09, y=-14.19, yaw=-0.99°) | (x=-153.47, y=-14.27, yaw=-2.99°)
images/image_00002316.png                | True       |      25.21 |       6.66 | (x=-163.68, y=8.60, yaw=-1.46°)  | (x=-157.03, y=8.36, yaw=-1.46°)  | (x=-146.27, y=-14.44, yaw=-1.46°) | (x=-146.06, y=-14.34, yaw=3.54°)
images/image_00002330.png                | True       |      29.21 |       6.10 | (x=-156.44, y=8.47, yaw=-2.00°)  | (x=-150.35, y=8.15, yaw=-2.00°)  | (x=-138.81, y=-14.47, yaw=-2.00°) | (x=-134.91, y=-16.65, yaw=-2.00°)
images/image_00002345.png                | False      |      29.43 |       5.66 | (x=-149.32, y=8.25, yaw=-1.70°)  | (x=-143.67, y=7.91, yaw=-1.70°)  | (x=-127.79, y=-16.87, yaw=-1.70°) | (x=-127.79, y=-16.87, yaw=-1.70°)
images/image_00002361.png                | False      |      29.52 |       5.52 | (x=-142.71, y=8.02, yaw=-1.73°)  | (x=-137.21, y=7.70, yaw=-1.73°)  | (x=-121.18, y=-17.09, yaw=-1.73°) | (x=-121.18, y=-17.09, yaw=-1.73°)
images/image_00002375.png                | False      |      30.08 |       4.46 | (x=-136.61, y=7.89, yaw=-2.04°)  | (x=-132.17, y=7.53, yaw=-2.04°)  | (x=-115.08, y=-17.23, yaw=-2.04°) | (x=-115.08, y=-17.23, yaw=-2.04°)
images/image_00002391.png                | False      |      30.47 |       3.87 | (x=-131.19, y=7.62, yaw=-2.71°)  | (x=-127.34, y=7.33, yaw=-2.71°)  | (x=-109.66, y=-17.49, yaw=-2.71°) | (x=-109.66, y=-17.49, yaw=-2.71°)
images/image_00002406.png                | False      |      31.35 |       2.49 | (x=-126.66, y=7.40, yaw=-3.08°)  | (x=-124.17, y=7.18, yaw=-3.08°)  | (x=-105.13, y=-17.72, yaw=-3.08°) | (x=-105.13, y=-17.72, yaw=-3.08°)
images/image_00002421.png                | False      |      32.41 |       0.91 | (x=-123.45, y=7.20, yaw=-2.62°)  | (x=-122.55, y=7.08, yaw=-2.62°)  | (x=-101.92, y=-17.92, yaw=-2.62°) | (x=-101.92, y=-17.92, yaw=-2.62°)
images/image_00002436.png                | False      |      33.35 |       0.52 | (x=-122.90, y=6.44, yaw=161.15°) | (x=-123.41, y=6.35, yaw=161.15°) | (x=-101.37, y=-18.67, yaw=161.15°) | (x=-101.37, y=-18.67, yaw=161.15°)
images/image_00002451.png                | False      |      33.61 |       1.04 | (x=-121.30, y=7.37, yaw=11.09°)  | (x=-122.33, y=7.18, yaw=11.09°)  | (x=-99.77, y=-17.74, yaw=11.09°) | (x=-99.77, y=-17.74, yaw=11.09°)
images/image_00002471.png                | False      |      32.53 |       2.34 | (x=-120.38, y=8.94, yaw=-3.15°)  | (x=-121.68, y=6.99, yaw=-3.15°)  | (x=-98.85, y=-16.18, yaw=-3.15°) | (x=-98.85, y=-16.18, yaw=-3.15°)
images/image_00002486.png                | False      |      31.70 |       2.05 | (x=-119.85, y=8.93, yaw=-3.66°)  | (x=-120.05, y=6.89, yaw=-3.66°)  | (x=-98.32, y=-16.18, yaw=-3.66°) | (x=-98.32, y=-16.18, yaw=-3.66°)
images/image_00002501.png                | False      |      30.80 |       2.35 | (x=-118.31, y=8.82, yaw=-3.46°)  | (x=-117.23, y=6.74, yaw=-3.46°)  | (x=-96.78, y=-16.29, yaw=-3.46°) | (x=-96.78, y=-16.29, yaw=-3.46°)
images/image_00002516.png                | False      |      29.93 |       3.17 | (x=-115.50, y=8.70, yaw=-2.95°)  | (x=-113.19, y=6.53, yaw=-2.95°)  | (x=-93.97, y=-16.42, yaw=-2.95°) | (x=-93.97, y=-16.42, yaw=-2.95°)
images/image_00002531.png                | False      |      29.37 |       3.95 | (x=-111.65, y=8.31, yaw=-3.02°)  | (x=-108.25, y=6.30, yaw=-3.02°)  | (x=-90.12, y=-16.81, yaw=-3.02°) | (x=-90.12, y=-16.81, yaw=-3.02°)
images/image_00002546.png                | False      |      28.96 |       4.53 | (x=-106.86, y=8.05, yaw=-3.03°)  | (x=-102.81, y=6.03, yaw=-3.03°)  | (x=-85.33, y=-17.07, yaw=-3.03°) | (x=-85.33, y=-17.07, yaw=-3.03°)
images/image_00002561.png                | False      |      28.75 |       5.21 | (x=-101.61, y=7.41, yaw=-2.28°)  | (x=-96.67, y=5.77, yaw=-2.28°)   | (x=-80.08, y=-17.71, yaw=-2.28°) | (x=-80.08, y=-17.71, yaw=-2.28°)
images/image_00002576.png                | False      |      28.58 |       5.61 | (x=-95.66, y=7.03, yaw=-2.95°)   | (x=-90.27, y=5.50, yaw=-2.95°)   | (x=-74.13, y=-18.09, yaw=-2.95°) | (x=-74.13, y=-18.09, yaw=-2.95°)
images/image_00002591.png                | False      |      28.31 |       6.03 | (x=-89.12, y=6.75, yaw=-2.68°)   | (x=-83.30, y=5.18, yaw=-2.68°)   | (x=-67.59, y=-18.36, yaw=-2.68°) | (x=-67.59, y=-18.36, yaw=-2.68°)
images/image_00002607.png                | False      |      27.99 |       6.64 | (x=-82.28, y=6.38, yaw=-2.56°)   | (x=-75.82, y=4.85, yaw=-2.56°)   | (x=-60.75, y=-18.73, yaw=-2.56°) | (x=-60.75, y=-18.73, yaw=-2.56°)
images/image_00002622.png                | False      |      27.94 |       6.68 | (x=-75.18, y=6.07, yaw=-2.55°)   | (x=-68.69, y=4.50, yaw=-2.55°)   | (x=-53.65, y=-19.05, yaw=-2.55°) | (x=-53.65, y=-19.05, yaw=-2.55°)
images/image_00002637.png                | False      |      27.85 |       6.77 | (x=-67.82, y=5.79, yaw=-2.51°)   | (x=-61.25, y=4.16, yaw=-2.51°)   | (x=-46.29, y=-19.33, yaw=-2.51°) | (x=-46.29, y=-19.33, yaw=-2.51°)
images/image_00002652.png                | False      |      27.86 |       6.76 | (x=-60.34, y=5.46, yaw=-2.47°)   | (x=-53.78, y=3.83, yaw=-2.47°)   | (x=-38.81, y=-19.66, yaw=-2.47°) | (x=-38.81, y=-19.66, yaw=-2.47°)
images/image_00002667.png                | False      |      27.78 |       6.57 | (x=-52.57, y=5.38, yaw=-2.46°)   | (x=-46.28, y=3.50, yaw=-2.46°)   | (x=-31.04, y=-19.73, yaw=-2.46°) | (x=-31.04, y=-19.73, yaw=-2.46°)
images/image_00002682.png                | False      |      27.86 |       6.39 | (x=-45.03, y=5.10, yaw=-2.34°)   | (x=-38.94, y=3.18, yaw=-2.34°)   | (x=-23.50, y=-20.01, yaw=-2.34°) | (x=-23.50, y=-20.01, yaw=-2.34°)
images/image_00002697.png                | False      |      27.92 |       6.26 | (x=-37.52, y=4.81, yaw=-2.27°)   | (x=-31.57, y=2.86, yaw=-2.27°)   | (x=-15.99, y=-20.31, yaw=-2.27°) | (x=-15.99, y=-20.31, yaw=-2.27°)
images/image_00002712.png                | False      |      28.14 |       5.93 | (x=-30.10, y=4.49, yaw=-2.25°)   | (x=-24.49, y=2.58, yaw=-2.25°)   | (x=-8.57, y=-20.62, yaw=-2.25°)  | (x=-8.57, y=-20.62, yaw=-2.25°)
images/image_00002727.png                | False      |      28.26 |       5.89 | (x=-22.92, y=4.07, yaw=-2.05°)   | (x=-17.30, y=2.31, yaw=-2.05°)   | (x=-1.39, y=-21.05, yaw=-2.05°)  | (x=-1.39, y=-21.05, yaw=-2.05°)
images/image_00002742.png                | False      |      28.20 |       5.87 | (x=-15.71, y=3.92, yaw=-1.95°)   | (x=-10.14, y=2.05, yaw=-1.95°)   | (x=5.82, y=-21.20, yaw=-1.95°)   | (x=5.82, y=-21.20, yaw=-1.95°)
images/image_00002757.png                | False      |      28.11 |       5.90 | (x=-8.60, y=3.73, yaw=-2.17°)    | (x=-3.05, y=1.74, yaw=-2.17°)    | (x=12.93, y=-21.38, yaw=-2.17°)  | (x=12.93, y=-21.38, yaw=-2.17°)
images/image_00002772.png                | False      |      28.12 |       5.82 | (x=-1.55, y=3.53, yaw=-2.15°)    | (x=3.90, y=1.48, yaw=-2.15°)     | (x=19.99, y=-21.59, yaw=-2.15°)  | (x=19.99, y=-21.59, yaw=-2.15°)
images/image_00002787.png                | False      |      28.39 |       5.42 | (x=5.18, y=3.25, yaw=-2.25°)     | (x=10.22, y=1.24, yaw=-2.25°)    | (x=26.71, y=-21.87, yaw=-2.25°)  | (x=26.71, y=-21.87, yaw=-2.25°)
images/image_00002803.png                | False      |      28.42 |       5.56 | (x=11.36, y=2.75, yaw=-2.53°)    | (x=16.62, y=0.94, yaw=-2.53°)    | (x=32.89, y=-22.37, yaw=-2.53°)  | (x=32.89, y=-22.37, yaw=-2.53°)
images/image_00002818.png                | False      |      28.83 |       5.07 | (x=17.09, y=2.30, yaw=-2.57°)    | (x=21.90, y=0.67, yaw=-2.57°)    | (x=38.62, y=-22.82, yaw=-2.57°)  | (x=38.62, y=-22.82, yaw=-2.57°)
images/image_00002833.png                | False      |      29.44 |       4.52 | (x=22.27, y=1.65, yaw=-2.46°)    | (x=26.62, y=0.44, yaw=-2.46°)    | (x=43.80, y=-23.46, yaw=-2.46°)  | (x=43.80, y=-23.46, yaw=-2.46°)
images/image_00002848.png                | False      |      29.67 |       4.02 | (x=26.68, y=1.58, yaw=-2.35°)    | (x=30.48, y=0.26, yaw=-2.35°)    | (x=48.21, y=-23.54, yaw=-2.35°)  | (x=48.21, y=-23.54, yaw=-2.35°)
images/image_00002863.png                | False      |      30.49 |       2.80 | (x=30.61, y=1.49, yaw=-1.87°)    | (x=33.08, y=0.17, yaw=-1.87°)    | (x=52.14, y=-23.63, yaw=-1.87°)  | (x=52.14, y=-23.63, yaw=-1.87°)
images/image_00002878.png                | False      |      31.50 |       1.59 | (x=33.31, y=1.40, yaw=0.07°)     | (x=34.23, y=0.10, yaw=0.07°)     | (x=54.84, y=-23.72, yaw=0.07°)   | (x=54.84, y=-23.72, yaw=0.07°)
images/image_00002893.png                | False      |      32.37 |       0.96 | (x=33.61, y=1.27, yaw=59.82°)    | (x=33.60, y=0.31, yaw=59.82°)    | (x=55.14, y=-23.85, yaw=59.82°)  | (x=55.14, y=-23.85, yaw=59.82°)
images/image_00002909.png                | False      |      32.33 |       0.76 | (x=33.66, y=0.55, yaw=-1.56°)    | (x=34.25, y=0.06, yaw=-1.56°)    | (x=55.19, y=-24.57, yaw=-1.56°)  | (x=55.19, y=-24.57, yaw=-1.56°)
